# en-US British -> American spelling corpus. GENERATED -- do not edit by hand.
# Regenerate: ./.venv/bin/python bin/gen_british_spellings.py
# Source: VarCon (SCOWL) -- https://github.com/en-wl/wordlist (public domain).
#   Vendored copy + license: config/en-US/varcon.txt
# Filter: British-only forms (no American tag in the headword), SCOWL level <= 60.
# House-style adds/exclusions: config/en-US/british-american.overrides.txt
# Format: <british><TAB><american>, one pair per line, sorted.

abridgement	abridgment
abridgements	abridgments
accessorise	accessorize
accessorised	accessorized
accessorises	accessorizes
accessorising	accessorizing
acclimatisation	acclimatization
acclimatise	acclimatize
acclimatised	acclimatized
acclimatises	acclimatizes
acclimatising	acclimatizing
actualisation	actualization
actualisations	actualizations
actualise	actualize
actualised	actualized
actualises	actualizes
actualising	actualizing
aerofoil	airfoil
aerofoils	airfoils
aeroplane	airplane
aeroplanes	airplanes
aetiology	etiology
aggrandise	aggrandize
aggrandised	aggrandized
aggrandisement	aggrandizement
aggrandisements	aggrandizements
aggrandises	aggrandizes
aggrandising	aggrandizing
agonise	agonize
agonised	agonized
agonises	agonizes
agonising	agonizing
agonisinglier	agonizinglier
agonisingliest	agonizingliest
agonisingly	agonizingly
alkalise	alkalize
alkalised	alkalized
alkalises	alkalizes
alkalising	alkalizing
almanack	almanac
almanacks	almanacs
alphabetisation	alphabetization
alphabetisations	alphabetizations
alphabetise	alphabetize
alphabetised	alphabetized
alphabetiser	alphabetizer
alphabetisers	alphabetizers
alphabetises	alphabetizes
alphabetising	alphabetizing
aluminium	aluminum
americanisation	americanization
americanisations	americanizations
americanise	americanize
americanised	americanized
americanises	americanizes
americanising	americanizing
amortisable	amortizable
amortisabler	amortizabler
amortisables	amortizables
amortisablest	amortizablest
amortisation	amortization
amortisations	amortizations
amortise	amortize
amortised	amortized
amortises	amortizes
amortising	amortizing
amphitheatre	amphitheater
amphitheatres	amphitheaters
anaemia	anemia
anaemias	anemias
anaemic	anemic
anaemically	anemically
anaemicer	anemicer
anaemicest	anemicest
anaemics	anemics
anaesthesia	anesthesia
anaesthesias	anesthesias
anaesthesiologies	anesthesiologies
anaesthesiologist	anesthesiologist
anaesthesiologists	anesthesiologists
anaesthesiology	anesthesiology
anaesthetic	anesthetic
anaestheticer	anestheticer
anaestheticest	anestheticest
anaesthetics	anesthetics
anaesthetisation	anesthetization
anaesthetisations	anesthetizations
anaesthetise	anesthetize
anaesthetised	anesthetized
anaesthetises	anesthetizes
anaesthetising	anesthetizing
anaesthetist	anesthetist
anaesthetists	anesthetists
analogise	analogize
analogised	analogized
analogises	analogizes
analogising	analogizing
analysable	analyzable
analysabler	analyzabler
analysablest	analyzablest
analyse	analyze
analysed	analyzed
analyser	analyzer
analysers	analyzers
analysing	analyzing
anathematise	anathematize
anathematised	anathematized
anathematises	anathematizes
anathematising	anathematizing
anatomise	anatomize
anatomised	anatomized
anatomises	anatomizes
anatomising	anatomizing
anglicise	anglicize
anglicised	anglicized
anglicises	anglicizes
anglicising	anglicizing
annualise	annualize
annualised	annualized
annualises	annualizes
annualising	annualizing
anodise	anodize
anodised	anodized
anodises	anodizes
anodising	anodizing
antagonise	antagonize
antagonised	antagonized
antagonises	antagonizes
antagonising	antagonizing
anthologise	anthologize
anthologised	anthologized
anthologises	anthologizes
anthologising	anthologizing
antilabour	antilabor
antilabours	antilabors
apologise	apologize
apologised	apologized
apologises	apologizes
apologising	apologizing
apostatise	apostatize
apostatised	apostatized
apostatises	apostatizes
apostatising	apostatizing
apotheosise	apotheosize
apotheosised	apotheosized
apotheosises	apotheosizes
apotheosising	apotheosizing
appal	appall
appals	appalls
apparelled	appareled
apparelling	appareling
appetise	appetize
appetised	appetized
